,securityName,secId,performanceId,holdingTypeId,weighting,numberOfShare,marketValue,shareChange,country,ticker,totalReturn1Year,forwardPERatio,stockRating,assessment,economicMoat,sector,sectorCode,holdingTrend,holdingType,isin,cusip,secondarySectorId,superSectorName,primarySectorName,secondarySectorName,firstBoughtDate,maturityDate,coupon,currency,localCurrencyCode,prospectusNetExpenseRatio,oneYearReturn,morningstarRating,ePUsedForOverallRating,analystRating,medalistRating,medalistRatingLabel,overallRatingPublishDateUtc,totalAssets,ttmYield,epUsedFor1YearReturn,morningstarCategory,totalAssetsMagnitude,lastTurnoverRatio,susEsgRiskScore,susEsgRiskGlobes,esgAsOfDate,susEsgRiskCategory,managementExpenseRatio,qualRating,quantRating,bestRatingType,securityType,domicileCountryId,currencyName,originalMarketValue,isMomentumFilterFlag
110,HKD/USD Purchased,,,CU,0.02483,833822.0,833822.0,833822.0,,,,,,,,,,,Other,,,602030,derivative,Future/Forward,Currency Forward/Future,,2025-12-11T06:00:00.000,,USD,USD,,,,0,_PO_,,,,,,0,,,,,,,,,,,,,,US Dollar,833822.0,
111,HKD/USD Purchased,,,CU,0.02465,827696.0,827696.0,827696.0,,,,,,,,,,,Other,,,602030,derivative,Future/Forward,Currency Forward/Future,,2025-12-12T06:00:00.000,,USD,USD,,,,0,_PO_,,,,,,0,,,,,,,,,,,,,,US Dollar,827696.0,
112,SGD/USD Purchased,,,CU,0.01438,482871.0,482871.0,482871.0,,,,,,,,,,,Other,,,602030,derivative,Future/Forward,Currency Forward/Future,,2025-12-12T06:00:00.000,,USD,USD,,,,0,_PO_,,,,,,0,,,,,,,,,,,,,,US Dollar,482871.0,
113,SGD/USD Purchased,,,CU,0.01435,481680.0,481680.0,481680.0,,,,,,,,,,,Other,,,602030,derivative,Future/Forward,Currency Forward/Future,,2025-12-11T06:00:00.000,,USD,USD,,,,0,_PO_,,,,,,0,,,,,,,,,,,,,,US Dollar,481680.0,
114,NZD/USD Purchased,,,CU,0.00609,204585.0,204585.0,204585.0,,,,,,,,,,,Other,,,602030,derivative,Future/Forward,Currency Forward/Future,,2025-12-12T06:00:00.000,,USD,USD,,,,0,_PO_,,,,,,0,,,,,,,,,,,,,,US Dollar,204585.0,
115,NZD - Other Payables/Receivables,,,C,0.00491,285501.0,164977.0,285501.0,United States,,,,,,,,,,Other,,,501011,cashAndEquivalents,cashAndEquivalents,Cash,,2025-12-11T06:00:00.000,,NZD,NZD,,,,0,_PO_,,,,,,0,,,,,,,,,,,,,,New Zealand Dollar,164977.0,
116,SGD - Other Payables/Receivables,,,C,0.0047,204599.0,157912.0,204599.0,United States,,,,,,,,,,Other,,,501011,cashAndEquivalents,cashAndEquivalents,Cash,,2025-12-11T06:00:00.000,,SGD,SGD,,,,0,_PO_,,,,,,0,,,,,,,,,,,,,,Singapore Dollar,157912.0,
117,NZD/USD Purchased,,,CU,0.00305,102397.0,102397.0,102397.0,,,,,,,,,,,Other,,,602030,derivative,Future/Forward,Currency Forward/Future,,2025-12-11T06:00:00.000,,USD,USD,,,,0,_PO_,,,,,,0,,,,,,,,,,,,,,US Dollar,102397.0,
118,NZD/USD Purchased,,,CU,0.00305,102293.0,102293.0,102293.0,,,,,,,,,,,Other,,,602030,derivative,Future/Forward,Currency Forward/Future,,2025-12-12T06:00:00.000,,USD,USD,,,,0,_PO_,,,,,,0,,,,,,,,,,,,,,US Dollar,102293.0,
119,GBP - Spendable Cash,,,C,0.00134,33751.0,44958.0,33751.0,United States,,,,,,,,,,Other,,,501011,cashAndEquivalents,cashAndEquivalents,Cash,,2025-12-11T06:00:00.000,,GBP,GBP,,,,0,_PO_,,,,,,0,,,,,,,,,,,,,,British Pound Sterling,44958.0,
